Price,Bedroom_qty,Bathroom_qty,Floor_size,Address,City_region,City,List_type,Date,Land_width,Land_depth
"$649,900 ",2,1,795,308 9213 Odlin Road,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$2,988,000 ",6,7,4460,7320 Broadmoor Boulevard,Broadmoor,Richmond,House,7/20/2021,66,123
"$729,000 ",2,3,1110,305 6077 London Road,Steveston South,Richmond,Apt/Condo,7/20/2021,,
"$1,690,000 ",4,3,2123,3140 Springfield Drive,Steveston North,Richmond,House,7/20/2021,59,139
"$1,039,000 ",3,3,1470,Th4 8333 Anderson Road,Brighouse,Richmond,Townhouse,7/20/2021,,
"$899,900 ",3,2,1130,126 9233 Odlin Road,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$668,000 ",2,2,964,417 9199 Tomicki Avenue,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$3,198,000 ",3,3,1480,601 185 Victory Ship Way,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,450,000 ",3,3,2272,510 4001 Mt Seymour Parkway,Roche Point,North Vancouver,Townhouse,7/20/2021,,
"$1,050,000 ",3,2,1265,1139 Ross Road,Lynn Valley,North Vancouver,Townhouse,7/20/2021,,
"$599,900 ",2,2,921,309 9200 Ferndale Road,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$3,088,000 ",5,7,3742,7220 Cavelier Court,Quilchena,Richmond,House,7/20/2021,48,116
"$529,000 ",1,1,718,303 53 W Hastings Street,Downtown West,Vancouver,Apt/Condo,7/20/2021,,
"$899,000 ",2,2,1073,7 1870 Yew Street,Kitsilano,Vancouver,Townhouse,7/20/2021,,
"$10,990,000 ",5,5,4650,4150 W 8th Avenue,Point Grey,Vancouver,House,7/20/2021,70,111
"$1,799,000 ",3,3,1437,1236 E 19th Avenue,Knight,Vancouver,Duplex,7/20/2021,37,122
"$1,699,000 ",3,3,1407,1234 E 19th Avenue,Knight,Vancouver,Duplex,7/20/2021,,
"$899,900 ",1,1,732,1601 189 Davie Street,Yaletown,Vancouver,Apt/Condo,7/20/2021,,
"$838,000 ",2,1,1038,211 319 E 7th Avenue,Mount Pleasant East,Vancouver,Apt/Condo,7/20/2021,,
"$519,900 ",1,1,670,1403 3455 Ascot Place,Collingwood,Vancouver,Apt/Condo,7/20/2021,,
"$550,000 ",2,2,826,316 405 Skeena Street,Renfrew,Vancouver,Apt/Condo,7/20/2021,,
"$8,280,000 ",5,2,3701,4677 Bellevue Drive,Point Grey,Vancouver,House,7/20/2021,65,110
"$999,500 ",1,1,688,108 438 W King Edward Avenue,Cambie,Vancouver,Apt/Condo,7/20/2021,,
"$539,900 ",1,1,549,506 4815 Eldorado Mews,Collingwood,Vancouver,Apt/Condo,7/20/2021,,
"$548,800 ",1,1,532,302 1055 E Broadway,Mount Pleasant East,Vancouver,Apt/Condo,7/20/2021,,
"$599,788 ",1,1,577,607 2137 W 10th Avenue,Kitsilano,Vancouver,Apt/Condo,7/20/2021,,
"$3,595,000 ",5,4,3783,2237 W 33rd Avenue,Quilchena,Vancouver,House,7/20/2021,57,120
"$849,800 ",2,2,921,1505 8538 River District Crossing,South Marine,Vancouver,Apt/Condo,7/20/2021,,
"$1,149,000 ",2,2,1085,211 111 E 1st Avenue,Mount Pleasant East,Vancouver,Apt/Condo,7/20/2021,,
"$1,299,000 ",4,2,2120,1548 E 41st Avenue,Knight,Vancouver,House,7/20/2021,42,97
"$725,000 ",1,1,659,504 522 W 8th Avenue,Fairview,Vancouver,Apt/Condo,7/20/2021,,
"$2,650,000 ",2,2,1443,1002 1616 Columbia Street,False Creek,Vancouver,Apt/Condo,7/20/2021,,
"$1,968,000 ",6,4,2190,1125 E 61st Avenue,South Vancouver,Vancouver,House,7/20/2021,33,116
"$829,900 ",2,2,806,802 550 Taylor Street,Downtown West,Vancouver,Apt/Condo,7/20/2021,,
"$399,000 ",2,2,1384,316 20600 53a Avenue,Langley City,Langley,Apt/Condo,7/20/2021,,
"$749,000 ",2,3,1442,21 8138 204 Street,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$599,900 ",3,2,1020,D418 8150 207 Street,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$499,900 ",3,2,1272,26894 32 Avenue,Aldergrove,Langley,Townhouse,7/20/2021,,
"$438,000 ",1,1,713,B324 20487 65 Avenue,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$4,700,000 ",5,8,5833,21330 18 Avenue,Campbell Valley,Langley,House,7/20/2021,,
"$449,000 ",1,1,685,D123 8150 207 Street,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$4,680,000 ",5,8,9152,20134 2 Avenue,Campbell Valley,Langley,House,7/20/2021,,
"$1,279,900 ",4,4,2296,26836 25 Avenue,Aldergrove,Langley,House,7/20/2021,105,141
"$2,789,000 ",4,4,4169,5105 237 Street,Salmon River,Langley,House,7/20/2021,165,290
"$399,000 ",2,1,796,209 19939 55a Avenue,Langley City,Langley,Apt/Condo,7/20/2021,,
"$4,249,000 ",7,5,4413,3183 248 Street,Otter District,Langley,House,7/20/2021,,
"$2,290,000 ",8,9,5778,19778 33a Avenue,Brookswood,Langley,House,7/20/2021,67,104
"$1,269,000 ",5,2,2293,5011 200a Street,Langley City,Langley,House,7/20/2021,56,128
"$599,900 ",2,2,1331,20 20875 80 Avenue,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$1,849,900 ",4,3,3670,22354 Old Yale Road,Murrayville,Langley,House,7/20/2021,78,141
"$848,000 ",4,4,1961,18 22225 50 Avenue,Murrayville,Langley,Townhouse,7/20/2021,,
"$6,000,000 ",3,4,6784,25304 30 Avenue,Otter District,Langley,House,7/20/2021,,
"$1,299,000 ",2,2,1320,105 23189 Francis Avenue,Fort Langley,Langley,Apt/Condo,7/20/2021,,
"$575,000 ",2,2,1243,304 20145 55a Avenue,Langley City,Langley,Apt/Condo,7/20/2021,,
"$1,448,000 ",6,5,3799,7271 198a Street,Willoughby Heights,Langley,House,7/20/2021,46,0
"$689,000 ",2,2,916,506 3281 E Kent Avenue North,South Marine,Vancouver,Apt/Condo,7/20/2021,,
"$679,900 ",3,2,1496,3 3596 Whitney Place,Champlain Heights,Vancouver,Townhouse,7/20/2021,,
"$535,000 ",1,1,520,507 8570 Rivergrass Drive,South Marine,Vancouver,Apt/Condo,7/20/2021,,
"$1,099,000 ",2,2,1065,311 1288 Marinaside Crescent,Yaletown,Vancouver,Apt/Condo,7/20/2021,,
"$1,499,000 ",4,2,1768,4744 Inverness Street,Knight,Vancouver,House,7/20/2021,33,110
"$2,600,000 ",4,3,2500,3838 W 11th Avenue,Point Grey,Vancouver,House,7/20/2021,33,122
"$1,388,000 ",2,2,840,2005 590 Nicola Street,Coal Harbour,Vancouver,Apt/Condo,7/20/2021,,
"$1,999,900 ",2,2,1279,1003 1561 W 57th Avenue,South Granville,Vancouver,Apt/Condo,7/20/2021,,
"$820,000 ",1,1,679,2504 1111 Alberni Street,West End,Vancouver,Apt/Condo,7/20/2021,,
"$549,000 ",2,1,758,323 12639 No. 2 Road,Steveston South,Richmond,Apt/Condo,7/20/2021,,
"$3,988,000 ",5,7,4937,958 Devon Road,Forest Hills,North Vancouver,House,7/20/2021,75,100
"$3,980,000 ",8,4,2934,676 E King Edward Avenue,Fraser East,Vancouver,House,7/20/2021,53,169
"$499,900 ",1,1,455,1 870 W 7th Avenue,Fairview,Vancouver,Apt/Condo,7/20/2021,,
"$3,980,000 ",3,4,2400,658 E King Edward Avenue,Fraser East,Vancouver,House,7/20/2021,49,169
"$799,900 ",2,2,1022,102 3626 W 28th Avenue,Dunbar,Vancouver,Apt/Condo,7/20/2021,,
"$579,900 ",1,1,717,206 3264 Oak Street,Cambie,Vancouver,Apt/Condo,7/20/2021,,
"$748,000 ",2,2,792,904 550 Taylor Street,Downtown West,Vancouver,Apt/Condo,7/20/2021,,
"$1,099,000 ",2,2,1042,1718 Macdonald Street,Kitsilano,Vancouver,Townhouse,7/20/2021,,
"$799,000 ",1,2,807,3 662 Union Street,Strathcona,Vancouver,Townhouse,7/20/2021,,
"$628,800 ",1,1,567,2106 550 Taylor Street,Downtown West,Vancouver,Apt/Condo,7/20/2021,,
"$2,398,000 ",2,2,1848,3054 W 13th Avenue,Kitsilano,Vancouver,House,7/20/2021,33,122
"$699,000 ",2,2,926,309 4033 May Drive,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$599,000 ",2,2,814,104 23233 Gilley Road,Hamilton,Richmond,Apt/Condo,7/20/2021,,
"$1,188,000 ",3,3,1351,6 9680 Alexandra Road,West Cambie,Richmond,Townhouse,7/20/2021,,
"$619,000 ",2,1,775,432 9388 Mckim Way,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$668,000 ",2,2,851,613 9388 Tomicki Avenue,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$1,138,000 ",3,3,1336,42 9680 Alexandra Road,West Cambie,Richmond,Townhouse,7/20/2021,,
"$799,000 ",3,2,1351,15 10820 Springmont Drive,Steveston North,Richmond,Townhouse,7/20/2021,,
"$699,000 ",2,2,868,601 7535 Alderbridge Way,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$1,598,000 ",3,1,1710,10320 Aragon Road,Mcnair,Richmond,House,7/20/2021,113,9227
"$868,000 ",2,2,966,601 8628 Hazelbridge Way,West Cambie,Richmond,Apt/Condo,7/20/2021,,
"$999,000 ",2,2,1102,103 650 Evergreen Place,Upper Delbrook,North Vancouver,Apt/Condo,7/20/2021,,
"$1,248,000 ",3,2,1214,1706 680 Seylynn Crescent,Lynnmour,North Vancouver,Apt/Condo,7/20/2021,,
"$1,799,000 ",5,3,2510,4565 Prime Place,Lynn Valley,North Vancouver,House,7/20/2021,40,0
"$1,688,000 ",2,2,1133,604 185 Victory Ship Way,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,649,900 ",3,3,1872,234 W 19th Street,Central Lonsdale,North Vancouver,Duplex,7/20/2021,,
"$599,900 ",1,2,762,401 857 W 15th Street,Mosquito Creek,North Vancouver,Apt/Condo,7/20/2021,,
"$819,900 ",3,2,1763,75 1930 Cedar Village Crescent,Westlynn,North Vancouver,Townhouse,7/20/2021,,
"$559,000 ",2,1,843,609 2004 Fullerton Avenue,Pemberton,North Vancouver,Apt/Condo,7/20/2021,,
"$539,900 ",1,1,644,305 857 W 15th Street,Mosquito Creek,North Vancouver,Apt/Condo,7/20/2021,,
"$499,900 ",0,1,425,413 1333 W Georgia Street,Coal Harbour,Vancouver,Apt/Condo,7/20/2021,,
"$2,300,000 ",6,4,2705,7775 Thornhill Drive,Fraserview East,Vancouver,House,7/20/2021,49,94
"$996,000 ",3,2,1112,302 8428 Park Road,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$828,000 ",3,2,1161,22 12311 Cambie Road,East Cambie,Richmond,Townhouse,7/20/2021,,
"$788,000 ",2,2,885,1706 9099 Cook Road,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$269,900 ",3,2,1140,206 8060 Ryan Road,South Arm,Richmond,Apt/Condo,7/20/2021,,
"$1,559,000 ",4,1,1681,10440 Caithcart Road,West Cambie,Richmond,House,7/20/2021,69,141
"$688,600 ",2,2,768,207 8428 Park Road,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$515,000 ",2,2,968,118 8511 Westminster Highway,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$1,980,000 ",4,3,2619,2 10040 No. 2 Road,Woodwards,Richmond,House,7/20/2021,37,120
"$949,000 ",2,2,984,602 140 E Keith Road,Central Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$449,900 ",1,1,646,227 340 W 3rd Street,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$2,099,000 ",4,4,2946,4623 Mountain Highway,Lynn Valley,North Vancouver,House,7/20/2021,65,143
"$1,649,000 ",3,4,1858,3 1133 Ridgewood Drive,Edgemont,North Vancouver,Townhouse,7/20/2021,,
"$649,900 ",2,2,1100,Ph12 223 Mountain Highway,Lynnmour,North Vancouver,Apt/Condo,7/20/2021,,
"$3,988,000 ",6,6,4994,3885 Sunset Boulevard,Edgemont,North Vancouver,House,7/20/2021,125,130
"$699,000 ",2,2,922,413 108 W Esplanade,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$3,998,000 ",5,5,5610,3560 Bluebonnet Road,Edgemont,North Vancouver,House,7/20/2021,75,126
"$1,398,000 ",3,3,1912,Ph6 7988 Ackroyd Road,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$1,298,000 ",5,3,2507,5602 Wilson Court,Hamilton,Richmond,House,7/20/2021,,
"$729,000 ",2,2,794,201 1523 Bowser Avenue,Norgate,North Vancouver,Apt/Condo,7/20/2021,,
"$1,998,888 ",6,4,3205,2032 Mountain Highway,Westlynn,North Vancouver,House,7/20/2021,41,0
"$2,099,000 ",2,2,1626,901 133 E Esplanade Avenue,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,150,000 ",3,3,1586,999 Premier Street,Lynnmour,North Vancouver,Townhouse,7/20/2021,,
"$2,475,000 ",5,3,3800,4771 248 Street,Salmon River,Langley,House,7/20/2021,115,0
"$1,598,000 ",5,4,3584,21071 43a Avenue,Brookswood,Langley,House,7/20/2021,62,130
"$485,000 ",2,2,850,108 5474 198 Street,Langley City,Langley,Apt/Condo,7/20/2021,,
"$499,999 ",2,2,996,205 22022 49 Avenue,Murrayville,Langley,Apt/Condo,7/20/2021,,
"$449,500 ",2,2,810,410 5474 198 Street,Langley City,Langley,Apt/Condo,7/20/2021,,
"$814,000 ",4,4,2213,15 19977 71 Avenue,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$2,798,800 ",5,4,3277,4117 212 Street,Brookswood,Langley,House,7/20/2021,287,175
"$1,100,000 ",5,4,4292,20225 40 Avenue,Brookswood,Langley,House,7/20/2021,,
"$1,499,000 ",5,4,3466,19635 71 Avenue,Willoughby Heights,Langley,House,7/20/2021,53,87
"$1,398,800 ",5,4,3525,22232 46 Avenue,Murrayville,Langley,House,7/20/2021,26,131
"$509,900 ",2,1,800,302 20290 86 Avenue,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$519,900 ",2,1,800,501 20290 86 Avenue,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$628,800 ",3,2,1116,441 8288 207a Street,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$850,000 ",4,2,2061,26587 32a Avenue,Aldergrove,Langley,House,7/20/2021,85,102
"$500,000 ",1,2,909,516 20376 86 Avenue,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$4,998,600 ",5,4,4933,22439 96 Avenue,Fort Langley,Langley,House,7/20/2021,505,0
"$589,900 ",2,2,931,507 20673 78 Avenue,Willoughby Heights,Langley,Apt/Condo,7/20/2021,,
"$774,800 ",3,3,1408,11 19789 55 Avenue,Langley City,Langley,Townhouse,7/20/2021,,
"$859,500 ",3,3,1562,35 8371 202b Street,Willoughby Heights,Langley,Townhouse,7/20/2021,,
"$1,049,000 ",4,3,2136,5220 197a Street,Langley City,Langley,House,7/20/2021,52,15
"$1,199,999 ",4,3,2302,20723 51a Avenue,Langley City,Langley,House,7/20/2021,,
"$2,088,000 ",3,3,1803,4463 W 9th Avenue,Point Grey,Vancouver,Townhouse,7/20/2021,,
"$3,298,000 ",4,5,4538,240 Holyrood Road,Upper Lonsdale,North Vancouver,House,7/20/2021,63,132
"$1,188,000 ",2,2,1027,304 1066 Hamilton Street,Yaletown,Vancouver,Apt/Condo,7/20/2021,,
"$649,000 ",1,1,592,1505 1740 Comox Street,West End,Vancouver,Apt/Condo,7/20/2021,,
"$1,299,000 ",3,3,1434,347 W 59th Avenue,South Cambie,Vancouver,Townhouse,7/20/2021,,
"$565,000 ",1,1,678,1507 3520 Crowley Drive,Collingwood,Vancouver,Apt/Condo,7/20/2021,,
"$2,990,000 ",3,2,1455,2203 620 Cardero Street,Coal Harbour,Vancouver,Apt/Condo,7/20/2021,,
"$1,599,900 ",3,3,1800,452 E 45th Avenue,Fraser East,Vancouver,House,7/20/2021,33,122
"$425,000 ",1,1,431,208 4818 Eldorado Mews,Collingwood,Vancouver,Apt/Condo,7/20/2021,,
"$1,078,000 ",2,2,1025,1703 1010 Burnaby Street,West End,Vancouver,Apt/Condo,7/20/2021,,
"$880,000 ",2,2,880,304 480 Robson Street,Downtown West,Vancouver,Apt/Condo,7/20/2021,,
"$2,168,000 ",4,5,2245,3251 Garry Street,Steveston Village,Richmond,House,7/20/2021,33,120
"$739,900 ",2,2,1018,502 23222 Gilley Road,Hamilton,Richmond,Apt/Condo,7/20/2021,,
"$609,900 ",2,2,859,420 23222 Gilley Road,Hamilton,Richmond,Apt/Condo,7/20/2021,,
"$619,900 ",1,2,829,323 23222 Gilley Road,Hamilton,Richmond,Apt/Condo,7/20/2021,,
"$569,900 ",2,2,813,106 23222 Gilley Road,Hamilton,Richmond,Apt/Condo,7/20/2021,,
"$1,570,000 ",4,3,2112,9971 Ashwood Drive,Garden City,Richmond,House,7/20/2021,45,90
"$348,800 ",1,1,658,113 8870 Citation Drive,Brighouse,Richmond,Apt/Condo,7/20/2021,,
"$988,800 ",3,3,1920,33 9651 Dayton Avenue,Garden City,Richmond,Townhouse,7/20/2021,,
"$1,199,000 ",4,3,2114,3739 Bamfield Drive,East Cambie,Richmond,House,7/20/2021,40,128
"$899,000 ",2,1,1350,14 Buntzen Bay,Indian Arm,North Vancouver,House,7/20/2021,,
"$749,800 ",2,2,976,604 1555 Eastern Avenue,Central Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$1,389,000 ",5,3,2571,4651 Hoskins Road,Lynn Valley,North Vancouver,House,7/20/2021,53,134
"$3,498,000 ",7,6,4755,517 Granada Crescent,Upper Delbrook,North Vancouver,House,7/20/2021,84,115
"$685,000 ",1,1,575,1705 125 E 14th Street,Central Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$799,000 ",2,2,817,Ph1 1288 Chesterfield Avenue,Central Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$789,900 ",1,1,640,103 185 Victory Ship Way,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$629,500 ",1,1,600,601 124 W 1st Street,Lower Lonsdale,North Vancouver,Apt/Condo,7/20/2021,,
"$558,000 ",1,1,610,106 1990 W 6th Avenue,Kitsilano,Vancouver,Apt/Condo,7/20/2021,,
"$1,299,000 ",2,2,1040,902 1020 Harwood Street,West End,Vancouver,Apt/Condo,7/20/2021,,
"$749,900 ",2,2,716,602 488 Helmcken Street,Yaletown,Vancouver,Apt/Condo,7/20/2021,,
"$668,000 ",2,1,797,212 2412 Alder Street,Fairview,Vancouver,Apt/Condo,7/20/2021,,
"$958,888 ",2,2,762,511 68 Smithe Street,Yaletown,Vancouver,Apt/Condo,7/20/2021,,
"$1,288,000 ",2,2,1220,1016 E 7th Avenue,Mount Pleasant East,Vancouver,Townhouse,7/20/2021,,
"$799,000 ",2,2,835,105 2388 Western Parkway,University (Ubc),Vancouver,Apt/Condo,7/20/2021,,
"$1,838,000 ",5,4,1903,7225 Victoria Drive,Fraserview East,Vancouver,Duplex,7/20/2021,44,120
"$650,000 ",0,1,526,104 1088 Richards Street,Yaletown,Vancouver,Apt/Condo,7/20/2021,,
"$748,000 ",3,2,1147,6315 5117 Garden City Road,Brighouse,Richmond,Apt/Condo,7/20/2021,,
